,scenario,year,policy,retail price rate,storage cost rate,PV cost Rate,total demand rate,pv capacity additions
342,28,2024,Net-Metering,24.24937146,0,9.298072869,4.12383934,265.44
343,28,2025,Net-Metering,27.71356739,0,10.62636899,4.712959245,293.28
344,28,2026,Net-Metering,31.17776331,0,11.95466512,5.302079151,322.08
345,28,2027,Net-Metering,34.64195923,0,13.28296124,5.891199057,345.12
346,28,2028,Net-Metering,38.10615516,0,14.61125737,6.480318962,367.68
347,28,2029,Net-Metering,41.57035108,0,15.93955349,7.069438868,387.84
348,29,2018,Net-Metering,3.822350307,0,1.926281067,0.545026897,45.12
349,29,2019,Net-Metering,7.644700615,0,3.852562134,1.090053794,85.44
350,29,2020,Net-Metering,11.46705092,0,5.778843201,1.63508069,126.24
351,29,2021,Net-Metering,15.28940123,0,7.705124269,2.180107587,167.04
352,29,2022,Net-Metering,19.11175154,0,9.631405336,2.725134484,204
353,29,2023,Net-Metering,22.93410184,0,11.5576864,3.270161381,237.12
354,29,2024,Net-Metering,26.75645215,0,13.48396747,3.815188278,268.32
355,29,2025,Net-Metering,30.57880246,0,15.41024854,4.360215175,298.08
356,29,2026,Net-Metering,34.40115277,0,17.3365296,4.905242071,327.36
357,29,2027,Net-Metering,38.22350307,0,19.26281067,5.450268968,352.32
358,29,2028,Net-Metering,42.04585338,0,21.18909174,5.995295865,376.8
359,29,2029,Net-Metering,45.86820369,0,23.11537281,6.540322762,401.76
360,30,2018,Net-Metering,4.663729999,0,1.054561552,0.555719605,44.16
361,30,2019,Net-Metering,9.327459999,0,2.109123105,1.11143921,86.4
362,30,2020,Net-Metering,13.99119,0,3.163684657,1.667158815,124.32
363,30,2021,Net-Metering,18.65492,0,4.21824621,2.22287842,163.2
364,30,2022,Net-Metering,23.31865,0,5.272807762,2.778598026,198.72
365,30,2023,Net-Metering,27.98238,0,6.327369315,3.334317631,229.92
366,30,2024,Net-Metering,32.64611,0,7.381930867,3.890037236,259.2
367,30,2025,Net-Metering,37.30983999,0,8.43649242,4.445756841,289.92
368,30,2026,Net-Metering,41.97356999,0,9.491053972,5.001476446,315.84
369,30,2027,Net-Metering,46.63729999,0,10.54561552,5.557196051,338.88
370,30,2028,Net-Metering,51.30102999,0,11.60017708,6.112915656,357.12
371,30,2029,Net-Metering,55.96475999,0,12.65473863,6.668635261,381.12
372,31,2018,Net-Metering,5.1452174,0,1.679209835,0.581126041,44.64
373,31,2019,Net-Metering,10.2904348,0,3.358419669,1.162252081,87.84
374,31,2020,Net-Metering,15.4356522,0,5.037629504,1.743378122,126.24
375,31,2021,Net-Metering,20.5808696,0,6.716839338,2.324504163,167.52
376,31,2022,Net-Metering,25.726087,0,8.396049173,2.905630204,202.08
377,31,2023,Net-Metering,30.8713044,0,10.07525901,3.486756244,235.68
378,31,2024,Net-Metering,36.0165218,0,11.75446884,4.067882285,266.4
379,31,2025,Net-Metering,41.1617392,0,13.43367868,4.649008326,295.2
380,31,2026,Net-Metering,46.3069566,0,15.11288851,5.230134367,321.6
381,31,2027,Net-Metering,51.452174,0,16.79209835,5.811260407,348
382,31,2028,Net-Metering,56.5973914,0,18.47130818,6.392386448,370.08
383,31,2029,Net-Metering,61.7426088,0,20.15051801,6.973512489,392.64
384,32,2018,Net-Metering,4.037181429,0,1.729719024,0.57269977,47.04
385,32,2019,Net-Metering,8.074362857,0,3.459438047,1.145399541,88.32
386,32,2020,Net-Metering,12.11154429,0,5.189157071,1.718099311,127.2
387,32,2021,Net-Metering,16.14872571,0,6.918876095,2.290799082,166.08
388,32,2022,Net-Metering,20.18590714,0,8.648595118,2.863498852,201.6
389,32,2023,Net-Metering,24.22308857,0,10.37831414,3.436198623,234.24
390,32,2024,Net-Metering,28.26027,0,12.10803317,4.008898393,266.4
391,32,2025,Net-Metering,32.29745143,0,13.83775219,4.581598164,292.8
392,32,2026,Net-Metering,36.33463286,0,15.56747121,5.154297934,325.44
393,32,2027,Net-Metering,40.37181429,0,17.29719024,5.726997704,351.84
394,32,2028,Net-Metering,44.40899571,0,19.02690926,6.299697475,374.4
395,32,2029,Net-Metering,48.44617714,0,20.75662828,6.872397245,396.48
396,33,2018,Net-Metering,3.219567685,0,1.273272743,0.536741816,45.12
397,33,2019,Net-Metering,6.439135371,0,2.546545485,1.073483633,88.32
398,33,2020,Net-Metering,9.658703056,0,3.819818228,1.610225449,127.2
399,33,2021,Net-Metering,12.87827074,0,5.093090971,2.146967265,163.2
400,33,2022,Net-Metering,16.09783843,0,6.366363714,2.683709081,194.88
401,33,2023,Net-Metering,19.31740611,0,7.639636456,3.220450898,227.52
402,33,2024,Net-Metering,22.5369738,0,8.912909199,3.757192714,259.2
403,33,2025,Net-Metering,25.75654148,0,10.18618194,4.29393453,287.04
404,33,2026,Net-Metering,28.97610917,0,11.45945468,4.830676347,312.96
405,33,2027,Net-Metering,32.19567685,0,12.73272743,5.367418163,337.44
406,33,2028,Net-Metering,35.41524454,0,14.00600017,5.904159979,358.56
407,33,2029,Net-Metering,38.63481223,0,15.27927291,6.440901795,381.12
408,34,2018,Net-Metering,6.273028349,0,1.504797369,0.513998855,42.72
409,34,2019,Net-Metering,12.5460567,0,3.009594738,1.027997709,84
410,34,2020,Net-Metering,18.81908505,0,4.514392108,1.541996564,123.84
411,34,2021,Net-Metering,25.0921134,0,6.019189477,2.055995418,162.24
412,34,2022,Net-Metering,31.36514175,0,7.523986846,2.569994273,196.8
413,34,2023,Net-Metering,37.63817009,0,9.028784215,3.083993128,228
414,34,2024,Net-Metering,43.91119844,0,10.53358158,3.597991982,261.12
415,34,2025,Net-Metering,50.18422679,0,12.03837895,4.111990837,288.48
416,34,2026,Net-Metering,56.45725514,0,13.54317632,4.625989692,314.4
417,34,2027,Net-Metering,62.73028349,0,15.04797369,5.139988546,340.8
418,34,2028,Net-Metering,69.00331184,0,16.55277106,5.653987401,365.76
419,34,2029,Net-Metering,75.27634019,0,18.05756843,6.167986255,387.84
420,35,2018,Net-Metering,4.200662553,0,1.788951007,0.547641726,47.04
421,35,2019,Net-Metering,8.401325107,0,3.577902013,1.095283452,88.8
422,35,2020,Net-Metering,12.60198766,0,5.36685302,1.642925178,127.68
423,35,2021,Net-Metering,16.80265021,0,7.155804026,2.190566904,164.64
424,35,2022,Net-Metering,21.00331277,0,8.944755033,2.73820863,201.6
425,35,2023,Net-Metering,25.20397532,0,10.73370604,3.285850356,237.6
426,35,2024,Net-Metering,29.40463787,0,12.52265705,3.833492082,270.24
427,35,2025,Net-Metering,33.60530043,0,14.31160805,4.381133808,296.16
428,35,2026,Net-Metering,37.80596298,0,16.10055906,4.928775534,324.48
429,35,2027,Net-Metering,42.00662553,0,17.88951007,5.47641726,351.36
430,35,2028,Net-Metering,46.20728809,0,19.67846107,6.024058986,377.76
431,35,2029,Net-Metering,50.40795064,0,21.46741208,6.571700712,397.92
432,36,2018,Net-Metering,3.563629657,0,1.47799181,0.508708053,43.2
433,36,2019,Net-Metering,7.127259313,0,2.95598362,1.017416106,85.44
434,36,2020,Net-Metering,10.69088897,0,4.433975429,1.526124159,124.8
435,36,2021,Net-Metering,14.25451863,0,5.911967239,2.034832213,163.68
436,36,2022,Net-Metering,17.81814828,0,7.389959049,2.543540266,198.24
437,36,2023,Net-Metering,21.38177794,0,8.867950859,3.052248319,235.2
438,36,2024,Net-Metering,24.9454076,0,10.34594267,3.560956372,266.88
439,36,2025,Net-Metering,28.50903725,0,11.82393448,4.069664425,295.2
440,36,2026,Net-Metering,32.07266691,0,13.30192629,4.578372478,319.2
441,36,2027,Net-Metering,35.63629657,0,14.7799181,5.087080531,345.12
442,36,2028,Net-Metering,39.19992622,0,16.25790991,5.595788584,370.08
443,36,2029,Net-Metering,42.76355588,0,17.73590172,6.104496638,391.2
444,37,2018,Net-Metering,4.161685086,0,1.220493659,0.512177641,45.12
445,37,2019,Net-Metering,8.323370173,0,2.440987318,1.024355283,85.92
446,37,2020,Net-Metering,12.48505526,0,3.661480977,1.536532924,124.8
447,37,2021,Net-Metering,16.64674035,0,4.881974636,2.048710566,160.32
448,37,2022,Net-Metering,20.80842543,0,6.102468295,2.560888207,197.76
449,37,2023,Net-Metering,24.97011052,0,7.322961954,3.073065849,233.76
450,37,2024,Net-Metering,29.1317956,0,8.543455613,3.58524349,264.96
451,37,2025,Net-Metering,33.29348069,0,9.763949272,4.097421132,291.84
452,37,2026,Net-Metering,37.45516578,0,10.98444293,4.609598773,317.28
453,37,2027,Net-Metering,41.61685086,0,12.20493659,5.121776415,344.16
454,37,2028,Net-Metering,45.77853595,0,13.42543025,5.633954056,366.24
455,37,2029,Net-Metering,49.94022104,0,14.64592391,6.146131698,384.96
456,38,2018,Net-Metering,4.849671329,0,1.862668488,0.568879131,45.6
457,38,2019,Net-Metering,9.699342657,0,3.725336976,1.137758263,87.84
458,38,2020,Net-Metering,14.54901399,0,5.588005463,1.706637394,129.6
459,38,2021,Net-Metering,19.39868531,0,7.450673951,2.275516525,167.52
460,38,2022,Net-Metering,24.24835664,0,9.313342439,2.844395657,203.04
461,38,2023,Net-Metering,29.09802797,0,11.17601093,3.413274788,235.2
462,38,2024,Net-Metering,33.9476993,0,13.03867941,3.982153919,264.48
463,38,2025,Net-Metering,38.79737063,0,14.9013479,4.551033051,297.6
464,38,2026,Net-Metering,43.64704196,0,16.76401639,5.119912182,324.96
465,38,2027,Net-Metering,48.49671329,0,18.62668488,5.688791313,352.32
466,38,2028,Net-Metering,53.34638461,0,20.48935337,6.257670445,376.32
467,38,2029,Net-Metering,58.19605594,0,22.35202185,6.826549576,399.36
468,39,2018,Net-Metering,4.560616733,0,1.951791057,0.529919563,44.16
469,39,2019,Net-Metering,9.121233466,0,3.903582114,1.059839126,87.84
470,39,2020,Net-Metering,13.6818502,0,5.855373171,1.589758688,130.56
471,39,2021,Net-Metering,18.24246693,0,7.807164229,2.119678251,165.6
472,39,2022,Net-Metering,22.80308366,0,9.758955286,2.649597814,205.44
473,39,2023,Net-Metering,27.3637004,0,11.71074634,3.179517377,236.64
474,39,2024,Net-Metering,31.92431713,0,13.6625374,3.709436939,270.72
475,39,2025,Net-Metering,36.48493386,0,15.61432846,4.239356502,298.56
476,39,2026,Net-Metering,41.0455506,0,17.56611951,4.769276065,327.36
477,39,2027,Net-Metering,45.60616733,0,19.51791057,5.299195628,355.68
478,39,2028,Net-Metering,50.16678406,0,21.46970163,5.82911519,379.2
479,39,2029,Net-Metering,54.72740079,0,23.42149269,6.359034753,402.72
480,40,2018,Net-Metering,3.337892125,0,1.161041944,0.618693276,44.16
481,40,2019,Net-Metering,6.675784251,0,2.322083887,1.237386551,84
482,40,2020,Net-Metering,10.01367638,0,3.483125831,1.856079827,122.88
483,40,2021,Net-Metering,13.3515685,0,4.644167775,2.474773102,161.76
484,40,2022,Net-Metering,16.68946063,0,5.805209718,3.093466378,194.88
485,40,2023,Net-Metering,20.02735275,0,6.966251662,3.712159653,228
486,40,2024,Net-Metering,23.36524488,0,8.127293606,4.330852929,261.6
487,40,2025,Net-Metering,26.703137,0,9.288335549,4.949546204,290.88
488,40,2026,Net-Metering,30.04102913,0,10.44937749,5.56823948,314.88
489,40,2027,Net-Metering,33.37892125,0,11.61041944,6.186932755,339.36
490,40,2028,Net-Metering,36.71681338,0,12.77146138,6.805626031,365.76
491,40,2029,Net-Metering,40.0547055,0,13.93250332,7.424319306,383.04
492,41,2018,Net-Metering,5.983673996,0,1.301559577,0.520082429,47.04
493,41,2019,Net-Metering,11.96734799,0,2.603119153,1.040164857,87.36
494,41,2020,Net-Metering,17.95102199,0,3.90467873,1.560247286,128.16
495,41,2021,Net-Metering,23.93469599,0,5.206238307,2.080329715,164.64
496,41,2022,Net-Metering,29.91836998,0,6.507797884,2.600412143,201.12
497,41,2023,Net-Metering,35.90204398,0,7.80935746,3.120494572,232.8
498,41,2024,Net-Metering,41.88571797,0,9.110917037,3.640577001,262.08
499,41,2025,Net-Metering,47.86939197,0,10.41247661,4.16065943,295.68
500,41,2026,Net-Metering,53.85306597,0,11.71403619,4.680741858,322.56
501,41,2027,Net-Metering,59.83673996,0,13.01559577,5.200824287,347.04
502,41,2028,Net-Metering,65.82041396,0,14.31715534,5.720906716,370.08
503,41,2029,Net-Metering,71.80408796,0,15.61871492,6.240989144,389.28
504,42,2018,Net-Metering,3.634994071,0,1.761162378,0.576869889,43.2
505,42,2019,Net-Metering,7.269988142,0,3.522324756,1.153739778,86.4
506,42,2020,Net-Metering,10.90498221,0,5.283487133,1.730609667,127.68
507,42,2021,Net-Metering,14.53997628,0,7.044649511,2.307479556,163.68
508,42,2022,Net-Metering,18.17497035,0,8.805811889,2.884349445,197.76
509,42,2023,Net-Metering,21.80996442,0,10.56697427,3.461219334,233.28
510,42,2024,Net-Metering,25.4449585,0,12.32813664,4.038089223,264
511,42,2025,Net-Metering,29.07995257,0,14.08929902,4.614959112,292.8
512,42,2026,Net-Metering,32.71494664,0,15.8504614,5.191829001,323.04
513,42,2027,Net-Metering,36.34994071,0,17.61162378,5.76869889,351.84
514,42,2028,Net-Metering,39.98493478,0,19.37278616,6.345568779,375.36
515,42,2029,Net-Metering,43.61992885,0,21.13394853,6.922438668,396.48
516,43,2018,Net-Metering,2.564183183,0,1.1499348,0.611329805,44.64
517,43,2019,Net-Metering,5.128366366,0,2.299869601,1.222659609,87.84
518,43,2020,Net-Metering,7.69254955,0,3.449804401,1.833989414,127.68
519,43,2021,Net-Metering,10.25673273,0,4.599739201,2.445319218,164.16
520,43,2022,Net-Metering,12.82091592,0,5.749674001,3.056649023,198.24
521,43,2023,Net-Metering,15.3850991,0,6.899608802,3.667978827,227.52
522,43,2024,Net-Metering,17.94928228,0,8.049543602,4.279308632,259.68
523,43,2025,Net-Metering,20.51346547,0,9.199478402,4.890638437,288.96
524,43,2026,Net-Metering,23.07764865,0,10.3494132,5.501968241,312.96
525,43,2027,Net-Metering,25.64183183,0,11.499348,6.113298046,339.84
526,43,2028,Net-Metering,28.20601502,0,12.6492828,6.72462785,363.36
527,43,2029,Net-Metering,30.7701982,0,13.7992176,7.335957655,384.96
528,44,2018,Net-Metering,4.9645207,0,1.819954349,0.613270341,43.68
529,44,2019,Net-Metering,9.929041401,0,3.639908698,1.226540682,88.32
530,44,2020,Net-Metering,14.8935621,0,5.459863047,1.839811023,128.16
531,44,2021,Net-Metering,19.8580828,0,7.279817396,2.453081364,166.56
532,44,2022,Net-Metering,24.8226035,0,9.099771745,3.066351704,204.48
533,44,2023,Net-Metering,29.7871242,0,10.91972609,3.679622045,239.04
534,44,2024,Net-Metering,34.7516449,0,12.73968044,4.292892386,269.76
535,44,2025,Net-Metering,39.7161656,0,14.55963479,4.906162727,297.6
536,44,2026,Net-Metering,44.6806863,0,16.37958914,5.519433068,328.32
537,44,2027,Net-Metering,49.645207,0,18.19954349,6.132703409,355.2
538,44,2028,Net-Metering,54.6097277,0,20.01949784,6.74597375,378.24
539,44,2029,Net-Metering,59.5742484,0,21.83945219,7.359244091,401.28
540,45,2018,Net-Metering,3.331738166,0,1.527826501,0.574098597,47.04
541,45,2019,Net-Metering,6.663476333,0,3.055653002,1.148197194,87.84
542,45,2020,Net-Metering,9.995214499,0,4.583479504,1.722295791,126.24
543,45,2021,Net-Metering,13.32695267,0,6.111306005,2.296394388,162.72
544,45,2022,Net-Metering,16.65869083,0,7.639132506,2.870492984,199.2
545,45,2023,Net-Metering,19.990429,0,9.166959007,3.444591581,232.8
546,45,2024,Net-Metering,23.32216717,0,10.69478551,4.018690178,264
547,45,2025,Net-Metering,26.65390533,0,12.22261201,4.592788775,293.76
548,45,2026,Net-Metering,29.9856435,0,13.75043851,5.166887372,321.12
549,45,2027,Net-Metering,33.31738166,0,15.27826501,5.740985969,346.56
550,45,2028,Net-Metering,36.64911983,0,16.80609151,6.315084566,371.04
551,45,2029,Net-Metering,39.980858,0,18.33391801,6.889183163,391.68
552,46,2018,Net-Metering,5.208677278,0,1.08947554,0.500977735,45.6
553,46,2019,Net-Metering,10.41735456,0,2.178951081,1.001955471,87.36
554,46,2020,Net-Metering,15.62603183,0,3.268426621,1.502933206,124.8
555,46,2021,Net-Metering,20.83470911,0,4.357902162,2.003910941,166.56
556,46,2022,Net-Metering,26.04338639,0,5.447377702,2.504888676,200.64
557,46,2023,Net-Metering,31.25206367,0,6.536853242,3.005866412,231.36
558,46,2024,Net-Metering,36.46074095,0,7.626328783,3.506844147,261.6
559,46,2025,Net-Metering,41.66941822,0,8.715804323,4.007821882,288.48
560,46,2026,Net-Metering,46.8780955,0,9.805279864,4.508799618,315.36
561,46,2027,Net-Metering,52.08677278,0,10.8947554,5.009777353,338.88
562,46,2028,Net-Metering,57.29545006,0,11.98423094,5.510755088,360.96
563,46,2029,Net-Metering,62.50412734,0,13.07370648,6.011732824,380.64
564,47,2018,Net-Metering,4.689097589,0,1.843470014,0.492185596,46.08
565,47,2019,Net-Metering,9.378195178,0,3.686940028,0.984371192,88.32
566,47,2020,Net-Metering,14.06729277,0,5.530410043,1.476556789,126.24
567,47,2021,Net-Metering,18.75639036,0,7.373880057,1.968742385,166.08
568,47,2022,Net-Metering,23.44548795,0,9.217350071,2.460927981,202.56
569,47,2023,Net-Metering,28.13458554,0,11.06082009,2.953113577,238.56
570,47,2024,Net-Metering,32.82368312,0,12.9042901,3.445299173,266.4
571,47,2025,Net-Metering,37.51278071,0,14.74776011,3.93748477,297.12
572,47,2026,Net-Metering,42.2018783,0,16.59123013,4.429670366,325.92
573,47,2027,Net-Metering,46.89097589,0,18.43470014,4.921855962,351.36
574,47,2028,Net-Metering,51.58007348,0,20.27817016,5.414041558,376.8
575,47,2029,Net-Metering,56.26917107,0,22.12164017,5.906227155,396.48
576,48,2018,Net-Metering,2.806955264,0,1.592870688,0.503691504,42.72
577,48,2019,Net-Metering,5.613910528,0,3.185741375,1.007383008,84.48
578,48,2020,Net-Metering,8.420865793,0,4.778612063,1.511074511,124.32
579,48,2021,Net-Metering,11.22782106,0,6.371482751,2.014766015,160.8
580,48,2022,Net-Metering,14.03477632,0,7.964353439,2.518457519,196.32
581,48,2023,Net-Metering,16.84173159,0,9.557224126,3.022149023,232.8
582,48,2024,Net-Metering,19.64868685,0,11.15009481,3.525840527,263.52
583,48,2025,Net-Metering,22.45564211,0,12.7429655,4.02953203,292.32
584,48,2026,Net-Metering,25.26259738,0,14.33583619,4.533223534,322.56
585,48,2027,Net-Metering,28.06955264,0,15.92870688,5.036915038,346.08
586,48,2028,Net-Metering,30.87650791,0,17.52157756,5.540606542,371.04
587,48,2029,Net-Metering,33.68346317,0,19.11444825,6.044298045,391.2
588,49,2018,Net-Metering,6.01404243,0,1.073743764,0.534006453,41.28
589,49,2019,Net-Metering,12.02808486,0,2.147487528,1.068012905,84
590,49,2020,Net-Metering,18.04212729,0,3.221231292,1.602019358,125.76
591,49,2021,Net-Metering,24.05616972,0,4.294975056,2.136025811,164.16
592,49,2022,Net-Metering,30.07021215,0,5.368718821,2.670032264,199.2
593,49,2023,Net-Metering,36.08425458,0,6.442462585,3.204038716,231.84
594,49,2024,Net-Metering,42.09829701,0,7.516206349,3.738045169,260.16
595,49,2025,Net-Metering,48.11233944,0,8.589950113,4.272051622,291.84
596,49,2026,Net-Metering,54.12638187,0,9.663693877,4.806058074,318.24
597,49,2027,Net-Metering,60.1404243,0,10.73743764,5.340064527,340.8
598,49,2028,Net-Metering,66.15446673,0,11.81118141,5.87407098,362.88
599,49,2029,Net-Metering,72.16850916,0,12.88492517,6.408077432,382.08
